"variable","W","p.value","normality","n"
"area_km2",0.958740121364596,3.39879748423745e-07,"not normal",283
"TSS_mean",0.830090497162172,6.15436323386296e-17,"not normal",283
"TSS_max",0.814739893841,2.09822224601097e-12,"not normal",148
"TSS_min",0.711031471351176,1.03123721698031e-15,"not normal",148
"precipitation",0.911343278438166,6.62388009111263e-12,"not normal",284
"mean_discharge",0.953858185785028,8.91728927346479e-08,"not normal",282
"u_wind",0.982626993388847,0.00162848973435164,"not normal",283
"v_wind",0.981888460178165,0.00118355548749022,"not normal",283
"anthropogenic_km2",0.817665388196168,1.40701307890943e-17,"not normal",284
"natural_km2",0.95917171203936,3.6993758529041e-07,"not normal",284
