"variable","W","p.value","normality","n","period"
"area_km2",0.975456143778818,0.558104406633262,"normal",38,"LW"
"TSS_mean",0.896708432245398,0.0020605479227098,"not normal",38,"LW"
"TSS_max",0.89064316057005,0.00140198657250769,"not normal",38,"LW"
"TSS_min",0.799268882704555,1.01022242826429e-05,"not normal",38,"LW"
"precipitation",0.976116693110934,0.173820640830472,"normal",74,"LW"
"mean_discharge",0.978956458082973,0.26162448307172,"normal",73,"LW"
"u_wind",0.937107048734682,0.00113883825244392,"not normal",74,"LW"
"v_wind",0.957295840700414,0.0136614069176684,"not normal",74,"LW"
"anthropogenic_km2",0.883299279180595,5.41346226314793e-06,"not normal",74,"LW"
"natural_km2",0.950797329003283,0.00593667322838922,"not normal",74,"LW"
