"variable","W","p.value","normality","n","period"
"area_km2",0.887858617873656,0.00222565534185184,"not normal",34,"R"
"TSS_mean",0.861302253990635,0.000506047989555111,"not normal",34,"R"
"TSS_max",0.82885913199078,9.76097689839762e-05,"not normal",34,"R"
"TSS_min",0.771813619991725,7.64165818913133e-06,"not normal",34,"R"
"precipitation",0.969560755174092,0.0947464672264337,"normal",68,"R"
"mean_discharge",0.983815358447733,0.533968488364286,"normal",67,"R"
"u_wind",0.960037706949017,0.0303670563504676,"not normal",67,"R"
"v_wind",0.957680981318512,0.0227651725427566,"not normal",67,"R"
"anthropogenic_km2",0.889824561944639,2.02362370021107e-05,"not normal",68,"R"
"natural_km2",0.950617186175767,0.00907420445552481,"not normal",68,"R"
