"variable","W","p.value","normality","n"
"area_km2",0.95212598326544,5.55887483466128e-05,"not normal",148
"TSS_mean",0.805210018470689,9.33716789637763e-13,"not normal",148
"TSS_max",0.814739893841,2.09822224601097e-12,"not normal",148
"TSS_min",0.711031471351176,1.03123721698031e-15,"not normal",148
"precipitation",0.913023310474672,9.01690214318967e-12,"not normal",284
"mean_discharge",0.953858185785028,8.91728927346479e-08,"not normal",282
"u_wind",0.987753312244983,0.0168386816835062,"not normal",283
"v_wind",0.962801111569662,1.15323605172148e-06,"not normal",283
"anthropogenic_km2",0.887285924625372,1.16830183292642e-13,"not normal",284
"natural_km2",0.950587551818679,3.3816802496323e-08,"not normal",284
