"variable","W","p.value","normality","n","period"
"area_km2",0.932186462417647,0.0325054879269671,"not normal",35,"HW"
"TSS_mean",0.855785907691882,0.000312836451896173,"not normal",35,"HW"
"TSS_max",0.868675145276957,0.000630308756938825,"not normal",35,"HW"
"TSS_min",0.340309805765143,2.13881766893389e-11,"not normal",35,"HW"
"precipitation",0.986107471453595,0.559384693931985,"normal",78,"HW"
"mean_discharge",0.964746273202427,0.0295074286154006,"not normal",78,"HW"
"u_wind",0.945267827226645,0.00218230233093257,"not normal",78,"HW"
"v_wind",0.973955553498955,0.110168066174991,"normal",78,"HW"
"anthropogenic_km2",0.889635663937542,5.79818734603871e-06,"not normal",78,"HW"
"natural_km2",0.954833687432703,0.00754480517148883,"not normal",78,"HW"
